Report Type,Id,Class,Submitted Date,Headline,Year,Season,Month,State,County,Location Details,Nearest Town,Nearest Road,Observed,Also Noticed,Other Witnesses,Other Stories,Time And Conditions,Environment,Follow-Up,Follow-Up Report,Date,Author,Media Source,Source Url,Media Issue,Observed.1,A & G References
Report,69323,Class A,2021-06-13,20 miles east of Petrified Forest National Park -- motorhome driver and wife report daylight sighting from Interstate 40 ,2021,Summer,,Arizona,Apache,"Original witness note: ""Near dead end rd beside I 40 west""",Holbrook,I 40 west,"Heading west on I-40 today at 0930 my wife and I saw a Bigfoot 100-150 yards from the hwy heading north. It was not running, but walking. It never looked at the hwy. It must have been 7-8 ft tall. It was thick, as in well built !",No,"1 my wife , riding in passenger seat",No,"Morning, 915-930","In front of rock hill, desert environment",Follow-up investigation report by BFRO Investigator Chuck Jacobs,"Investigator Notes (Chuck Jacobs):I texted witness Bill Weldon. He texted back and later we spoke on the phone for approx 45 minutes.  He is very well-spoken and  very serious and credible.  He is from Florida. This is his first trip west. He advised that he and his wife Carri both saw the bigfoot. He says it was ""about the same distance away as the billboards"" along the highway.  They watched it for 15-20 seconds as they passed by at highway speed. There is no doubt whatsoever in their minds as to what it was.  He described it as having dark colored hair, and that the lower legs and feet looked lighter colored due to the dust from the dry, reddish-tan soil in the area.  He advised that they could actually see dust kick up with each step.  He stated there was steady highway traffic at the time. Due to the bigfoot's proximity to the highway and it's dark color against the light background, there is ""NO WAY"" that other drivers did not see it.   _____________________________________Investigator Notes (Matt Moneymaker): I spoke with Bill Weldon and his wife Carri. They are both very credible. They are now in northern California staying with relatives. They are available to speak with local (AZ) reporters if requested.This is a very reliable multi-witness daylight sighting. It is neither a hoax nor a misidentification. It is an important report because of the location. The location may indicate an important migration pathway for saquatches in this part of Arizona -- Apache County.There is also a good chance that tracks from this incident may still be visible there. It would be a good places for Arizona investigators to check out soon, before it rains. Fortunately it doesn't rain much in June in this region.On the map, Apache County, Arizona, is a long vertical shaped county encompassing more than half of state border with New Mexico. The northern half the county is the Navajo Indian Reservation. The bottom portion of the county is Fort Apache Indian Reservation. Those two portions are mostly mountainous and very squatchy (lots of tree cover and running water and deer, etc.). In those portions there are lots of sighting reports of sasquatches. In between those two lush mountainous zones is wide open high desert with almost no water. This 100 mile expanse would be inhospitable to sasquatches, but sasquatches would NEED to cross that open expanse to get from one mountainous zone to the other.  How would they do it?  Which way would they go? Until now there were no reports in that open stretch of desert. This report is in the middle of that stretch, half way in between the two mountainous zones.The BFRO web site shows eleven (11) reports for Apache County as of June 2021. Those are the reports which are posted publicly. In the BFRO's internal database there are 51 reports total for Apache County. Most have not been investigated or they are second-hand storeis, etc. All of the other reports besides this one report are clustered in the two mountainous zones mentioned above: 1) In the North: The Chuska Mountains and connecting terrain around Window Rock. All of this zone is within the vast Navajo Indian Reservation.2) The South: The Mogollom Rim portion, very roughly between Show-Low and Alpine and the Fort Apache Reservation.The witnesses in this report are both very certain that the figure was: a) not a human in dark clothing, nor b) a human in a bigfoot costume. It ""did not have long flowing body hair"". Rather, it was covered with short dark fur. It seemed very natural like a real animal. Both said it seemed too large to be a human -- very tall and lanky but with very muscular legs. Its arms were swinging as it walked.The sasquatch did not seem hurried or fleeing from view. Bill's impression was that it was like the pace and movement of a person who is ""exhauasted"" and walking ""in a trance "" trying to get somewhere.Thirty minutes or so before the sighting Bill and Carri had stopped at the ""Indian Ruins Indian Store"" just before Sanders AZ as you head west on I-40. The store was closed but they let their dogs walk around near the store. One dog is a black labrador. After walking around the black lab had a lot of red dust on its black fur. Bill and Carri said the sasquatch had he same tinge of red dust on the fur of its legs. Both Bill and Carri say the overall color of fur was not jet black but rather a ""dark gray"".They are certain that it was also spotted by others on I-40 because some vehicles ahead of them slowed down as if to get a better look. The BFRO did not receive any other reports of this incident.The elevation of the sighting location is roughly 5,800 feet. It is high desert with patches of pinion pine and cedar among boulder outcroppings. On the day of the incident the temperature ranged from lows in the upper 50's Fahrenheit to highs in the upper 80's Fahrenheit.  At 9:30 am the temperature would have been in the mid 70's F.  Hence, it was broad daylight but not very hot yet. The sasquatch may have been walking all night from the south and simply continued walking north in daylight before the temperature got too hot. The area where it was spotted heading north is entering hilly terrain with lots of boulder outcroppings with many cave-like crevices providing shade from the sun. Also, near where it was seen there is a big stream gully that passes underneath Interstate 40. Thus it was possible this creature could cross the highway in daylight without being seen until it was many yards from the highway. The stream bed near the highway appears to be very brushy but it likely dry most of the time. The stream has no name but connects to the Puerco River on the other side of highway. The Puerco River has water flowing through it after rains but it is dry at other times. It flows southwest to Petrified Forest National Park. The National Park has a lot of wildlife including Mule deer, Pronghorn antelope and dozens of different species of mammals.The closest area with an established history of sightings is 40 miles to the northeast: The Window Rock area of the Navajo Reservation. Twenty miles beyond Window Rock to the north lies the Chuska Mountains on the Arizona / New Mexico border. The Chuska Mountain Range is well known among bigfoot researchers and Navajo Indians as a sighting area. The culmination of all this information begs particular questions: How far can a sasquatch walk without accessing water? How many miles?  How many days can it go without water?A human would simply not be able to walk across this 100 miles of desert with no water, certainly not in June, even if the person only walks at night.  In Winter, after snow storms, there wouild be patches of snow in shaded spots that would provide water for a migrating animal, but not in June.Even if a summer rainstorm occurred just prior to this sighting which caused water to run in the Puerco River, there is still 50 miles of desert in between that river and Mogollom Rim zone to the south.On the one hand this type of high desert terrain would allow a large dark sasquatch to be spotted from a long distance, even from a small aircraft.  On the other hand, this sasquatch was probably only passing through the area on its way between the mountain ranges. It probably doesn't pass through very often. That is merely an assumption though. The accessibility of the location makes it a good place to investigate if you happen to live between Winslow and Gallup, or you'll be passing through there along Interstate 40 (Route 66).Yes, now would be a good time to get your kicks on Route 66, before it rains. If you have an opportunity please look around the location for tracks, especially where that stream bed passes underneath the hightway. For the Google Maps link to this report location, click here.For the Facebook discussion about this report see:https://www.facebook.com/groups/BFRO.group/permalink/10159013606475169/",6/10,,,,,,
Report,69315,Class B,2021-06-09,"Possible ""Ohio howls"" heard on Hoopa Indian Reservation",2021,Spring,June,California,Humboldt,"Hoopa, CA:  Heard from Shoemaker Road","Hoopa, CA",Shoemaker Road/Cherry Flat Road,"This is to document my experience on Sunday, June 6, 2021.","Afterwards, there was dead silence in the neighborhood, no dogs barking and no sounds from crickets.",Not to my knowledge yet.  I do not know if any of my neighbors heard the howl(s).,No.,3:28am,Mountainous area with brush and trees.,Follow-up investigation report by BFRO Investigator Matthew Moneymaker,Click here for the 1994 Ohio Howl recording.,6,,,,,,
Report,69291,Class B,2021-06-05,"Possible ""Ohio howls"" south of Shingletown (midway between Redding and Lassen)",1987-89,Summer,June,California,Shasta,"Bottom of Wilson Hill Rd., west of Volta Powerhouse site.",Manton,Wilson Hill Rd.,"While living with my parents at Manton, CA. in 1987-1989, we began hearing strange howls intermittently from about 9 PM to midnight 2-3 times a week. My father said their crazy neighbor must have gotten hold of a WW 2 air raid siren. I think he said that so as not to scare kids. It was definitely NOT the local volunteer fire dept. siren.","Several years later, there was a large wildfire in the area. A friend's daughter was on the mop-up firecrew. Her mother told me she had mentioned seeing ""a monkey up in a pine tree"". I told her it was not a monkey, and yes, THEY are there.","Entire family. 2 grandparents, 2 parents, 2 young children.",There's a sighting from the early 1990's by a local family coming home from the fair in Red Bluff. Howls were reported up on the ridge at Viola and Lake Macumber in the 1990's.,"Evenings, twilight to midnight.","Mixed oak and pine, manzanita, buckbrush, chokecherry scrub. Battle Creek, 2 small lakes (Grace and Nora) up on ridge serve as forebays for the small powerhouse at Volta. Elevation rises swiftly from 2,000 ft to 4,000 ft. Lots of wildlife. Rural, ranching, houses on 3-360 acre plots with forest/scrubland/pasture between.",Follow-up investigation report by BFRO Investigator Matthew Moneymaker,Click here for the 1994 Ohio Howl recording.,,,,,,,
Report,69394,Class B,2021-06-30,Family hears loud wood knocks at Deer Lakes outside Lake City,2021,Summer,June,Colorado,Hinsdale,Near the Deer Lakes campground area,Lake CIty,Hwy 149,"I want to share an experience my family and I had near Lake City, CO on June 12, 2021.",,My wife and daughter,,6:00 pm and 10:00 pm,Pine forest valley near a pond and creek,,,12,,,,,,
Report,69612,Class A,2021-08-26,"Close-range, multi-witness motorist sighting of a Bigfoot in Pachaug State Forest near Griswold",2019,Fall,October,Connecticut,New London,,Griswold,Rt 201 & Trail 2,Griswold CT off 201 trail 2 to Mt Misery.. bigfoot crossed in front of us .. 2 people on the road .. thought it was a deer coming through woods .. but no .. it was a upright creature running .. passed over gravel rd trail.. we were in a full size Kia sorento.. it was at least 4ft higher than the suv.. this was in 2019 early oct around 430pm.. this thing was huge.. and quick..,I could not see it anymore after it was about 40 yrds into the woods.,Yes my aunt.,Yes 5 other stories of people camping in same area.. it's a campground  and swimming. And trail walking area,"New England forest Late Autumn, clear sunny afternoon",Early fall not to many leaves .. pretty clear to see everything .,Follow-up investigation report by BFRO Investigator Mike Young,"Witness was very credible. Excellent description and appeared honest. CT Investigators have had private investigations in the area. Several Class A sightings in the vicinity.Notes from Q&A with witness: 415-430PM  Mid October 2019- Witnesses heading eastbound on Trail 2 in Pachaug State Forest- Sunny mild autumn afternoon.- Leaves mostly off the trees. Fresh crisp leaves on the ground.- The bigfoot disappeared in a few seconds after 40 yards movement.- There was a stone wall. It could have jumped behind it.- It crossed the road from the south. He heard it coming before he saw it. He stopped the car. It was only 10 feet in front of the car. - It did not look at the car as it crossed.- Took two steps to cross the road, only one foot touched the middle of the road. - Trail 2 is a one lane dirt road about 15 feet wide.- Whole event took about 20 seconds. - Very long quick strides, about 8-9 feet long stride.- Noise was loud enough for him to stop his car, saplings and trees moving. - Hair color: Dark brown, darker on head and shoulders. Little lighter on legs and chest. Thicker hair on head and shoulders. - Head was not proportional to body. Flat face. Dark skin on face. Short hair on head. Rounded scalp. No visible ears. - Face from side: Mostly flat, eyes looked bigger ""Human eyes""- Saw some whites of the eyes with dark iris's. No noticeable cheeks or chin. No noticeable forehead or brows because covered by some hair. No flowing hair on head as he ran. Hair look neat and well kept.- Neck: No visible neck because hair from head covered neck. No beard.- Shoulders: Massive 36-40 inches. Extremely muscular shoulders. Very rounded deltoids and shoulders. - Looked like a male. Built like a male. No genitals visible.- Chest: Broad, covered with hair.- Waist: V-taper to a mid-sized waist. Witness did not notice ribcage- Back: Extremely muscular well built trapezius ""very healthy"".- Arms: Long top arm, gentle swing, thick arms. Arms reached past the waist. Elbow was always bent.- Thigh: Longer thick hair there, did not see musculature.- Buttocks: Well built, rounded.- Legs: Movement appeared different than a human stride.- Feet: It did not lift his feet very high. Could not see the bottom soles. - No footprints noticed, but dust was stirred up as he stepped onto the gravel road.",15,,,,,,
Report,71801,Class A,2021-11-02,Motorist sighting of a Sasquatch along Hwy 1 north of Jupiter,2021,Summer,August,Florida,Martin,IT WAS ON THE NORTH SIDE OF THE JOHNATHON DICKINSON STATE PARK ENTRANCE GATE,TEQUESTA,US1,I WORK IN STUART AND LIVE IN JUPITER SO MY COMMUTE IS UP AND DOWN US1. I HAD BEEN WORKING LATE SO DRIVING SOUTH JUST AFTER SUNSET. THE ROAD WAS QUIET WITH JUST ANOTHER PICK UP TRUCK APPROACHING MY TRUCK FROM BEHIND.,"NOTHING, JUST A TYPICAL SOUTH FLORIDA SUMMER NIGHT",I WAS ALONE IN MY TRUCK BUT THERE WAS ANOTHER TRUCK AND I KNOW THEY SAW IT TOO BY THEIR ACTIONS.,"NONE, OTHER THAN THE ONE I JUST READ FROM THE 70S, WHICH PROMPTED ME TO POST MY SIGHTING.","EVENING, JUSTS AFTER SUNSET","IT WAS BETWEEN THE HARD SHOULDER AND FENCE TO JD PARK, SO OUT IN THE OPEN",Follow-up investigation report by BFRO Investigator Matthew Moneymaker,The witness Leon Oxley is a designer for kitchen remodels. He is originally from Manchester England. He is very credible and willing to speak with local journalists about his August sighting along Hwy 1 north of Jupiter as the highway passes through Jonathon Dickinson State Park. He thinks the time was between 8:30PM and 9:00PM. It was getting dark outside but there was still an orange glow in the western sky. The Sasquatch was walking parallel to the highway on the west side of highway. It was between the highway edge and the tree line but closer to the tree line than the highway.He said the fur color was dirty white or light gray. There is another report of a light colored Sasquatch from Dickinson State park.,,,,,,,
Report,69452,Class A,2021-07-15,Grandfather and Granddaughter See Figure in Englewood Yard,2021,Spring,March,Florida,Sarasota,,Englewood,Bayshore Dr.,,,2,none,"Morning, clear weather, low 66, high 84",Suburban older homes by stream that flows to the Intracoastal waterway.,Follow-up investigation report by BFRO Investigator R. Monteith,"I spoke with the gentleman about his sighting in person and on the phone.Best to his recollection this occurred on March 27, 2021 between 8-8:30 am. Prior to this event he never gave a thought to a skunkape or bigfoot being anything other than folklore. On the morning of March 27, he was preparing breakfast with his wife. The kitchen has a window that looks across their backyard. When he turned to ask his wife a question movement outside the window caught his eye. He saw a dark bipedal figure walk from a group of trees toward a wooded area before disappearing from his line of sight. He asked his wife if she had seen that, just as his 8 year old granddaughter came running from the dining room yelling Grandpa, did you see that? She had seen the figure as well from the back sliding glass door. She described it as big. He admits that he at first wondered what his neighbor was wearing but realized it was taller than his 64 neighbor. He went on to describe that the figure was about 50 ft away, with a slim build but tall. It was walking west to east (L to R) as they was looking north out the windows.The family is very credible as to what happened that morning. It was obviously something they had never expected to see or experience.When researching this area it is not necessarily an area that one would expect to have this sort of activity. However the homes are spaced out on one acre or more lots and some are heavily wooded. His back yard connects to Manasota Scrub Preserve which connects to agricultural and green areas and then Myakka State Forest. Much of that area at the time of this sighting was very dry without having had substantial rain for many months which may have driven this animal towards water and in this case Forked Creek which is across the street from this mans home",27,,,,,,
Report,69052,Class A,2021-04-22,Motorists sighting at night 8 miles north of Statesboro,2019,Winter,December,Georgia,Bulloch,"[Investigator Note: The road crossing happened on Lakeview Road almost precisely one mile south of Blitch and eight miles north of Statesboro. Coordinates for the spot: 32°34'31.4""N 81°47'01.6""W]",Statesboro,Lakeview Road,"My wife and I were returning from TMT Farms Christmas display when a bigfoot crossed the road in front of us. At first I wasnt sure what I saw but my wife asked me if I saw that. It was a big creature, 7-8 feet tall, and crossed the road from left to right in 4 steps. It crossed the road and made its way into the woods.",,2,,"10 pm, clear dark night","Rural Georgia road, about 5 miles from river",Follow-up investigation report by BFRO Investigator Matthew Moneymaker,"I spoke by phone with the husband, Matt Berghoff, and his wife Jennifer. He works for Georgia-Pacific at a paper products facility. His wife works as a budget manager for Academic Affairs for Georgia Southern University in Stateboro.As stated in the report, they were returning from a popular Christmas lights display ar ound 10pm. It was a few days before Christmas.They were driving south on Lakeview Road when the sasquatch crossed the road less than 50 feet from their vehicle from left to right. It was fully lit by the headlights of the vehicle. They both saw it. The fur color was dark brown. It was slightly hunched over as it walked across the road. It was ""bulky"" and they estimate it stood 7-8 feet tall.They were not driving fast along Lakeview Road because they have seen deer at night on this road. They were afraid of hitting a deer.The location is two miles from the swampy Ogeechee River.Here is the Google Maps pin for the exact location where the sasquatch was standing right before it crossed the road:https://goo.gl/maps/tTaerAGuqkqgGLA99..",20,,,,,,
Report,69141,Class A,2021-05-09,"Camper sighting at night, rocks thrown, on North Fork of Coeur d'Alene River near Enaville",2011,Summer,August,Idaho,Shoshone,[Investigator (MM) Note regarding location:,Enaville Idaho,Little North Fork Road,"During a camping trip along the north fork of the Coeur d'Alene river. We had recently finished dinner. While sitting fire side our dogs, a border collie and a pug leapt up and ran into the forest that separated the campsite from the creek. Neither made any sound but simply ran into the woods at twilight. Frustrated at the thought of chasing dogs in the woods at night I retrieved my flashlight from the cab of my truck. Upon approaching the tree line the dogs exploded out of the woods and ran to the truck where they cowered in fear staring into the woods.","Rock thrown. Tree broken, dogs in a panic.","2. Camping, sitting by the fire",,Approx 845 pm clear skies 65 degrees a thunderstorm had come through about 430pm,"Pine forest, creek side, canyon bottom.",Follow-up investigation report by BFRO Investigator Kevin Llewellyn,"I talked to the witness by phone.The witness and his girlfriend set up camp with a spare tent as more people were to come later in the camping trip. The only other camp was one quarter mile away. They had cooked steaks and oysters for dinner. When the dogs came running back from the trees, they were whimpering.The witness had his flashlight on the figure for at least two seconds and knew it was not a bear. It was leaning out from behind an approximately two foot diameter pine tree. He saw the right side of the upper body, the lower body was covered by bushes. He estimates the shoulder width at four feet based on the tree diameter. The right arm hung down into the bushes so no hand was seen. It was eight feet tall with smooth, shiny black hair about three inches long. The head was conical with no neck. The nose was broad, not a bear snout. Hair from the head hung down to the eyes. No ears or teeth were seen. No eye shine was seen. The skin on the face was black. No foul odor was detected. He used the words ""bulky"" and ""enormous"" to describe the figure.   When the rock was thrown, it hit the sticks in the fire and sparks landed on the side of his dining canopy. He stated he would never shoot at it, but shot into the air, and they continued to hear it move around and a tree break. The entire encounter was about forty five minutes. He and his girlfriend were very frightened, even though he felt it would not harm them. It affected him for a long time and he has just been sharing the encounter the past couple years. (He apologized for not turning in a report to the BFRO sooner - but we discussed a lot about bigfoot behavior and no apology needed.) He will not go camping again. I find the witness very credible.    For a Google Maps pin to the exact location where the sasqauatch was seen, click here.",10,,,,,,
Report,69321,Class B,2021-06-12,Possible Sasquatch sighting by camper near Camp Cadiz in Shawnee National Forest,2021,Summer,June,Illinois,Hardin,It happened on a gravel/dirt road near the campground. [Camp Cadiz],Elizabethtown IL,"Cadiz Rd, Elizabethtown IL",Well had a possible sighting today in the Shawnee National Forest... Not by me sadly but my wife!  And believe it or not she's not even a believer!,,Just my wife. I was driving.,No.,"3:00 pm in the afternoon, Sunny,blue sky's",The environment is ig u would say isolated. It's a quite road. Lots of forest of course. Lots of creeks also,Follow-up investigation report by BFRO Investigator Chris Callahan,"I spoke to the witness by phone. This sighting was very brief, no more than a few seconds. The only additional details added were to state the fur was a black/brownish color and the figure was 7.5 to 8 feet tall (the husband of the witness is 6 feet and 1 inch tall and that is how she determined the height estimate). ",13,,,,,,
